experiment,feature_set,split,feature,feature_type,mean_abs_shap
geo_decorr__random,geo_decorr,random,void_fraction,geo,0.44752334263397076
geo_decorr__random,geo_decorr,random,density_g_cm3,geo,0.417818560085355
geo_decorr__random,geo_decorr,random,pld,geo,0.21067411405892672
geo_decorr__random,geo_decorr,random,surface_area_m2cm3,geo,0.18324354930981493
geo_decorr__random,geo_decorr,random,surface_area_m2g,geo,0.14430683075235137
geo_decorr__metal,geo_decorr,metal,void_fraction,geo,0.5304289038822584
geo_decorr__metal,geo_decorr,metal,density_g_cm3,geo,0.32518451129992465
geo_decorr__metal,geo_decorr,metal,pld,geo,0.23657602395706498
geo_decorr__metal,geo_decorr,metal,surface_area_m2g,geo,0.22548491091887463
geo_decorr__metal,geo_decorr,metal,surface_area_m2cm3,geo,0.22422524958797665
geo_decorr__topology,geo_decorr,topology,void_fraction,geo,0.49616167783043214
geo_decorr__topology,geo_decorr,topology,density_g_cm3,geo,0.4278580825299307
geo_decorr__topology,geo_decorr,topology,surface_area_m2g,geo,0.28714277048865827
geo_decorr__topology,geo_decorr,topology,pld,geo,0.22544635893181658
geo_decorr__topology,geo_decorr,topology,surface_area_m2cm3,geo,0.20631175720816636
geo_all__random,geo_all,random,void_fraction,geo,0.5353949428979039
geo_all__random,geo_all,random,density_g_cm3,geo,0.32038232825607776
geo_all__random,geo_all,random,pld,geo,0.2358046179918451
geo_all__random,geo_all,random,surface_area_m2cm3,geo,0.1835009781429654
geo_all__random,geo_all,random,lcd,geo,0.14271696139234744
geo_all__random,geo_all,random,surface_area_m2g,geo,0.12247654600786781
geo_all__metal,geo_all,metal,void_fraction,geo,0.6205016187804823
geo_all__metal,geo_all,metal,density_g_cm3,geo,0.3879365817643798
geo_all__metal,geo_all,metal,surface_area_m2cm3,geo,0.24763924101570262
geo_all__metal,geo_all,metal,pld,geo,0.2241037369301665
geo_all__metal,geo_all,metal,lcd,geo,0.14875599782818552
geo_all__metal,geo_all,metal,surface_area_m2g,geo,0.10498924786998065
geo_all__topology,geo_all,topology,void_fraction,geo,0.7222465208006195
geo_all__topology,geo_all,topology,density_g_cm3,geo,0.3833712538608188
geo_all__topology,geo_all,topology,surface_area_m2cm3,geo,0.29223317671245924
geo_all__topology,geo_all,topology,pld,geo,0.24616311197339055
geo_all__topology,geo_all,topology,lcd,geo,0.24161169569933835
geo_all__topology,geo_all,topology,surface_area_m2g,geo,0.20733946534140124
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-T_scope-3_propagg-product_corragg-avg_bbagg-avg,rac,0.2110852594290271
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-X_scope-3_propagg-product_corragg-avg_bbagg-avg,rac,0.1500900665249392
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-X_scope-2_propagg-product_corragg-avg_bbagg-avg,rac,0.12728973673688926
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-X_scope-2_propagg-diff_corragg-sum_bbagg-avg,rac,0.10024805474008422
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-T_scope-2_propagg-product_corragg-avg_bbagg-avg,rac,0.09705015483564643
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-T_scope-3_propagg-product_corragg-avg_bbagg-sum,rac,0.09474196499874102
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-mod_pettifor_scope-3_propagg-diff_corragg-sum_bbagg-avg,rac,0.09425570558730398
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-X_scope-2_propagg-diff_corragg-avg_bbagg-avg,rac,0.06604943867514906
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-X_scope-3_propagg-diff_corragg-sum_bbagg-avg,rac,0.054946522711722075
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-mod_pettifor_scope-3_propagg-product_corragg-sum_bbagg-avg,rac,0.05307795679366206
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-I_scope-3_propagg-product_corragg-sum_bbagg-avg,rac,0.05259981252881961
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-T_scope-2_propagg-product_corragg-sum_bbagg-avg,rac,0.04902675228583699
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-T_scope-1_propagg-diff_corragg-avg_bbagg-avg,rac,0.04378700462279095
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-X_scope-1_propagg-product_corragg-avg_bbagg-avg,rac,0.04274872426571774
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-X_scope-2_propagg-product_corragg-sum_bbagg-avg,rac,0.040108651367976596
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-X_scope-2_propagg-product_corragg-avg_bbagg-sum,rac,0.03868024631498496
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-T_scope-2_propagg-diff_corragg-avg_bbagg-sum,rac,0.03856253866581003
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-T_scope-1_propagg-product_corragg-avg_bbagg-avg,rac,0.036238548278209874
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-mod_pettifor_scope-2_propagg-product_corragg-sum_bbagg-sum,rac,0.03534610804089981
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-X_scope-1_propagg-diff_corragg-avg_bbagg-avg,rac,0.034292375402050226
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-T_scope-2_propagg-product_corragg-sum_bbagg-sum,rac,0.03192633999684208
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-mod_pettifor_scope-1_propagg-product_corragg-sum_bbagg-avg,rac,0.030722968744909877
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-T_scope-3_propagg-diff_corragg-avg_bbagg-avg,rac,0.030174035492247214
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-X_scope-3_propagg-product_corragg-sum_bbagg-avg,rac,0.029658974358626536
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-T_scope-2_propagg-diff_corragg-avg_bbagg-avg,rac,0.02848434098242531
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-I_scope-2_propagg-product_corragg-sum_bbagg-sum,rac,0.027530536823787904
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-X_scope-2_propagg-diff_corragg-sum_bbagg-sum,rac,0.026674703237171898
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-mod_pettifor_scope-2_propagg-product_corragg-avg_bbagg-avg,rac,0.02650033303962517
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-mod_pettifor_scope-2_propagg-diff_corragg-sum_bbagg-sum,rac,0.024253881271243675
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-T_scope-2_propagg-diff_corragg-sum_bbagg-avg,rac,0.02359593917087245
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-mod_pettifor_scope-2_propagg-diff_corragg-sum_bbagg-avg,rac,0.02254642976176735
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-mod_pettifor_scope-2_propagg-diff_corragg-avg_bbagg-avg,rac,0.022486381188121674
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-X_scope-1_propagg-diff_corragg-avg_bbagg-sum,rac,0.022319090357849413
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-mod_pettifor_scope-1_propagg-diff_corragg-sum_bbagg-sum,rac,0.022047264039446304
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-T_scope-2_propagg-diff_corragg-sum_bbagg-sum,rac,0.021595089422390735
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-X_scope-1_propagg-product_corragg-sum_bbagg-avg,rac,0.019942187085592315
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-mod_pettifor_scope-1_propagg-diff_corragg-avg_bbagg-avg,rac,0.019676782223088645
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-I_scope-1_propagg-product_corragg-sum_bbagg-avg,rac,0.019508868689468228
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-X_scope-2_propagg-diff_corragg-avg_bbagg-sum,rac,0.018557998194499836
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-X_scope-1_propagg-diff_corragg-sum_bbagg-avg,rac,0.018406881655522705
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-mod_pettifor_scope-1_propagg-product_corragg-avg_bbagg-sum,rac,0.01827186373938613
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-I_scope-2_propagg-product_corragg-sum_bbagg-avg,rac,0.01703604223277318
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-mod_pettifor_scope-2_propagg-product_corragg-sum_bbagg-avg,rac,0.015240230734015618
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-mod_pettifor_scope-1_propagg-diff_corragg-avg_bbagg-sum,rac,0.009483054925964338
rac_decorr__random,rac_decorr,random,racs_bb-nodes_prop-mod_pettifor_scope-2_propagg-diff_corragg-avg_bbagg-sum,rac,0.00943797706267614
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-X_scope-3_propagg-product_corragg-avg_bbagg-avg,rac,0.43418893278307213
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-X_scope-1_propagg-diff_corragg-avg_bbagg-avg,rac,0.16025659653284322
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-T_scope-3_propagg-product_corragg-avg_bbagg-avg,rac,0.10850642662212859
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-X_scope-3_propagg-diff_corragg-sum_bbagg-avg,rac,0.10794127780275856
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-X_scope-1_propagg-product_corragg-avg_bbagg-avg,rac,0.08112924613929745
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-T_scope-3_propagg-product_corragg-avg_bbagg-sum,rac,0.06662667250050958
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-T_scope-2_propagg-diff_corragg-avg_bbagg-avg,rac,0.0628024875526251
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-X_scope-2_propagg-diff_corragg-avg_bbagg-sum,rac,0.0607760105562158
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-T_scope-2_propagg-product_corragg-avg_bbagg-avg,rac,0.060761704524158654
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-X_scope-2_propagg-product_corragg-avg_bbagg-avg,rac,0.047655666456905596
