feature_set,split,method,n_features,best_cv_RMSE,test_RMSE,test_MAE,test_R2,time_min
baseline,random,optuna,2,0.6613241636192402,0.6582025431840113,0.4614327521691044,0.03266691044586023,0.3
baseline,topology,optuna,2,0.6610271098563728,0.7072214598180117,0.590070575874195,-0.19098446552412085,0.3
baseline,metal,optuna,2,0.6598354108475429,0.6764896363269838,0.4985024023813371,-0.015804761140836066,0.1
geo_decorr,random,optuna,5,0.3919218490070707,0.38483304439290916,0.23072372402674643,0.6693247848072034,4.2
geo_decorr,topology,optuna,5,0.3906848479436225,0.32103945118773175,0.18458815963859568,0.7545788172706036,3.6
geo_decorr,metal,optuna,5,0.40152454611117566,0.3852660745785565,0.2491974109453734,0.6705348485880769,1.4
geo_all,random,optuna,6,0.38307416475286776,0.3740350805768148,0.22455978347753727,0.6876211622587036,1.6
geo_all,topology,optuna,6,0.38139728930189604,0.3243889090698822,0.1875503553183022,0.7494310630695342,1.4
geo_all,metal,optuna,6,0.39194165359663613,0.37995163007084176,0.24764408280053524,0.679561586538737,0.7
rac_decorr,random,optuna,45,0.6134420821553175,0.6097971501622194,0.41305620552889316,0.16971400447672025,0.7
rac_decorr,topology,optuna,45,0.6123947232126224,0.5925066413403973,0.36013057598413073,0.1640473449945148,1.3
rac_decorr,metal,optuna,45,0.61594760600104,0.6622556614651733,0.4846118120572391,0.026492485881692618,0.9
rac_all,random,optuna,81,0.6132649155013374,0.6095030249703949,0.4130036217644104,0.17051475972085905,2.1
rac_all,topology,optuna,81,0.6122159766494887,0.5895401334927914,0.35374480602010555,0.17239713205429552,1.7
rac_all,metal,optuna,81,0.6157815579371293,0.6550133642665441,0.47611651090301005,0.04766823443575896,0.8
combined_decorr,random,optuna,50,0.3287435672243252,0.32586476806946196,0.1873085632272174,0.7628998942868642,6.7
combined_decorr,topology,optuna,50,0.3277483011880855,0.3612249009301371,0.18786439647970368,0.689293315021377,41.1
combined_decorr,metal,optuna,50,0.33907513703601777,0.37349759875161087,0.24422939109464373,0.690355352818661,3.5
combined_all,random,optuna,87,0.3210594444283395,0.31505889920115027,0.18252358284930592,0.7783639332010871,5.7
combined_all,topology,optuna,87,0.31767432848719745,0.3515267343305301,0.18534023765819643,0.7057530598756863,8.5
combined_all,metal,optuna,87,0.3331492465834039,0.3507757604590123,0.2284819574503125,0.726884028234932,2.1
baseline,random,random,2,0.6613437133282956,0.6581264657893068,0.4613584444374776,0.03289051313170088,0.4
baseline,topology,random,2,0.6611032095886773,0.7100686870227723,0.5920360290472121,-0.20059341983986045,0.3
baseline,metal,random,2,0.6599902819063505,0.6772034881430394,0.5028858464500672,-0.017949706535322685,0.1
geo_decorr,random,random,5,0.3920117307332122,0.3841744860549086,0.23113759171129794,0.6704555743334888,1.8
geo_decorr,topology,random,5,0.39102027423348773,0.31990054148419655,0.18466113556654087,0.7563170258946865,2.2
geo_decorr,metal,random,5,0.40200308646244715,0.38492421355351575,0.24849902068446272,0.6711192827276049,1.6
geo_all,random,random,6,0.3832018376305118,0.37351546478523173,0.22407132387111361,0.6884884832066026,2.4
geo_all,topology,random,6,0.38231490711632043,0.33457724955503587,0.19132512740603533,0.7334442536310344,2.7
geo_all,metal,random,6,0.39281443936300586,0.37865908060133346,0.2466815713639214,0.6817380635912327,2.5
rac_decorr,random,random,45,0.6134995206416098,0.609876054065009,0.41265489473309314,0.16949912303972858,1.2
rac_decorr,topology,random,45,0.612460301388428,0.5866903969888485,0.3570250446133779,0.1803787767194034,0.7
rac_decorr,metal,random,45,0.6170121843728943,0.6441744095370051,0.4594734607991936,0.07892523323085388,0.6
rac_all,random,random,81,0.6131550948870708,0.6093655242790899,0.4125796256199155,0.17088897256053792,0.9
rac_all,topology,random,81,0.6124305176145206,0.5882141180889313,0.3535575147254097,0.17611589492289237,3.0
rac_all,metal,random,81,0.616407822982928,0.6446758917990864,0.46064745176861394,0.07749058309989809,1.8
combined_decorr,random,random,50,0.32983647231840435,0.3270155095468089,0.18846061572631687,0.7612223721938802,1.6
combined_decorr,topology,random,50,0.3287609349621971,0.3573566072668993,0.18671919746711724,0.695912289543748,5.5
combined_decorr,metal,random,50,0.33994992341327396,0.3731915645775825,0.24527851959945884,0.6908625743990384,1.2
combined_all,random,random,87,0.32263988523621034,0.3183251681683823,0.1838268173606956,0.7737446348726839,110.1
combined_all,topology,random,87,0.3765358322140062,0.3629047489978464,0.19235350782184157,0.6863967614138593,133.8
combined_all,metal,random,87,0.3894347787935125,0.36100404265328684,0.23783000003617147,0.7107242159781868,76.4
