experiment,feature_set,split,feature,feature_type,mean_abs_shap
geo_decorr__random,geo_decorr,random,void_fraction,geo,0.23963616040694552
geo_decorr__random,geo_decorr,random,density_g_cm3,geo,0.18016897548457836
geo_decorr__random,geo_decorr,random,pld,geo,0.16259386706368298
geo_decorr__random,geo_decorr,random,surface_area_m2g,geo,0.14934690794400068
geo_decorr__random,geo_decorr,random,surface_area_m2cm3,geo,0.10553289395003149
geo_decorr__metal,geo_decorr,metal,void_fraction,geo,0.24493732267030283
geo_decorr__metal,geo_decorr,metal,density_g_cm3,geo,0.194220132070705
geo_decorr__metal,geo_decorr,metal,surface_area_m2g,geo,0.15328964367053882
geo_decorr__metal,geo_decorr,metal,pld,geo,0.14042138827171868
geo_decorr__metal,geo_decorr,metal,surface_area_m2cm3,geo,0.09601359856435364
geo_decorr__topology,geo_decorr,topology,void_fraction,geo,0.30099463773480983
geo_decorr__topology,geo_decorr,topology,density_g_cm3,geo,0.2585708431679153
geo_decorr__topology,geo_decorr,topology,surface_area_m2g,geo,0.20247748482237463
geo_decorr__topology,geo_decorr,topology,surface_area_m2cm3,geo,0.10408936255349271
geo_decorr__topology,geo_decorr,topology,pld,geo,0.10238930264028902
geo_all__random,geo_all,random,void_fraction,geo,0.24583397690020756
geo_all__random,geo_all,random,density_g_cm3,geo,0.19771023830704035
geo_all__random,geo_all,random,surface_area_m2g,geo,0.12047572089000189
geo_all__random,geo_all,random,pld,geo,0.11041717705601564
geo_all__random,geo_all,random,surface_area_m2cm3,geo,0.10948558661032433
geo_all__random,geo_all,random,lcd,geo,0.07447356097253802
geo_all__metal,geo_all,metal,void_fraction,geo,0.2436167019291577
geo_all__metal,geo_all,metal,density_g_cm3,geo,0.1830399929935872
geo_all__metal,geo_all,metal,surface_area_m2g,geo,0.13513071948203695
geo_all__metal,geo_all,metal,pld,geo,0.09765290028691173
geo_all__metal,geo_all,metal,lcd,geo,0.08826167234443938
geo_all__metal,geo_all,metal,surface_area_m2cm3,geo,0.08694370345639223
geo_all__topology,geo_all,topology,void_fraction,geo,0.29129324113504873
geo_all__topology,geo_all,topology,density_g_cm3,geo,0.2386753137874498
geo_all__topology,geo_all,topology,surface_area_m2g,geo,0.18289425280090507
geo_all__topology,geo_all,topology,surface_area_m2cm3,geo,0.0978885164512596
geo_all__topology,geo_all,topology,lcd,geo,0.08377230046492229
