experiment,feature_set,split,feature,feature_type,mean_abs_shap
geo_decorr__random,geo_decorr,random,void_fraction,geo,0.5181528385289087
geo_decorr__random,geo_decorr,random,pld,geo,0.3009949709923495
geo_decorr__random,geo_decorr,random,surface_area_m2cm3,geo,0.2283654355899197
geo_decorr__random,geo_decorr,random,surface_area_m2g,geo,0.215058973018328
geo_decorr__random,geo_decorr,random,density_g_cm3,geo,0.1940369855853213
geo_decorr__metal,geo_decorr,metal,void_fraction,geo,0.5553688396922875
geo_decorr__metal,geo_decorr,metal,pld,geo,0.30604271158164487
geo_decorr__metal,geo_decorr,metal,surface_area_m2cm3,geo,0.2686194510478442
geo_decorr__metal,geo_decorr,metal,surface_area_m2g,geo,0.20566172103670202
geo_decorr__metal,geo_decorr,metal,density_g_cm3,geo,0.19455685561620528
geo_decorr__topology,geo_decorr,topology,void_fraction,geo,0.5517225516877325
geo_decorr__topology,geo_decorr,topology,density_g_cm3,geo,0.2689366765061537
geo_decorr__topology,geo_decorr,topology,surface_area_m2cm3,geo,0.2535743942491035
geo_decorr__topology,geo_decorr,topology,surface_area_m2g,geo,0.2212191508689674
geo_decorr__topology,geo_decorr,topology,pld,geo,0.20220566265620976
geo_all__random,geo_all,random,void_fraction,geo,0.4464161056200259
geo_all__random,geo_all,random,density_g_cm3,geo,0.21103059933017637
geo_all__random,geo_all,random,pld,geo,0.17926332930054276
geo_all__random,geo_all,random,surface_area_m2cm3,geo,0.16922751107303985
geo_all__random,geo_all,random,surface_area_m2g,geo,0.14014782978829032
geo_all__random,geo_all,random,lcd,geo,0.13410269688696064
geo_all__metal,geo_all,metal,void_fraction,geo,0.45782324911093686
geo_all__metal,geo_all,metal,surface_area_m2cm3,geo,0.18850428870935373
geo_all__metal,geo_all,metal,pld,geo,0.18654574514285566
geo_all__metal,geo_all,metal,lcd,geo,0.1732638881714137
geo_all__metal,geo_all,metal,density_g_cm3,geo,0.17022776635349485
geo_all__metal,geo_all,metal,surface_area_m2g,geo,0.15403312529982463
