feature_set,split,method,n_features,best_cv_RMSE,test_RMSE,test_MAE,test_R2,time_min
baseline,random,optuna,2,0.6616725752441248,0.6589448633777859,0.46206167162347334,0.030483765413227504,0.1
baseline,topology,optuna,2,0.6613780122915315,0.9289128490864405,0.8359631494057719,-1.0546846507963719,0.1
baseline,metal,optuna,2,0.6602795859032494,0.6670168820562534,0.4807119434280639,0.012444298669165077,0.1
geo_decorr,random,optuna,5,0.3911758372043085,0.3867055649736381,0.23328846462531258,0.666098956894059,0.1
geo_decorr,topology,optuna,5,0.3892396910214463,0.32600366905014416,0.18376734445233983,0.7469302640508015,0.2
geo_decorr,metal,optuna,5,0.40143267108624614,0.3768514464592219,0.2443754784402518,0.6847694339822148,0.1
geo_all,random,optuna,6,0.3813133825744225,0.373642149166384,0.2262016115981903,0.6882771380825333,0.1
geo_all,topology,optuna,6,0.3813165921145069,0.32797914999198224,0.1867062573194426,0.7438539234349333,0.2
geo_all,metal,optuna,6,0.39227294166755783,0.37332887368117657,0.24481184706959586,0.6906350494724283,0.2
rac_decorr,random,optuna,45,0.6141348804893442,0.6093177904818446,0.41294648605838985,0.17101886198161997,0.2
rac_decorr,topology,optuna,45,0.6127099138816826,0.5999860006306673,0.3461286485839797,0.14280926069570388,0.3
rac_decorr,metal,optuna,45,0.6160383046209243,0.6566478870385225,0.4669360391052171,0.04290939980750552,0.2
rac_all,random,optuna,81,0.6136508458005575,0.6088290226052876,0.41263040974150883,0.17234827283537557,0.3
rac_all,topology,optuna,81,0.6122053125900623,0.5749046987149752,0.3342588917423885,0.21297785526629376,0.3
rac_all,metal,optuna,81,0.6160305175106594,0.651814604665084,0.4569487942875829,0.05694695235288094,0.2
combined_decorr,random,optuna,50,0.3205030612140893,0.31913984729384387,0.1875020229741005,0.7725850571165367,0.3
combined_decorr,topology,optuna,50,0.31547001267928704,0.3487251513192626,0.1838490104964528,0.7104245240038145,0.4
combined_decorr,metal,optuna,50,0.3301357747857145,0.35431946159930233,0.2171480539580505,0.7213378629415909,0.2
combined_all,random,optuna,87,0.3110625784307965,0.30637247443717,0.18121770354093564,0.7904168225530938,0.4
combined_all,topology,optuna,87,0.3070872609630589,0.3658431445744474,0.18838887900850582,0.6812977872654231,0.7
combined_all,metal,optuna,87,0.32200489415379235,0.3436678815642702,0.2183333457546301,0.7378403549512188,0.3
baseline,random,random,2,0.6616645179935113,0.6589467911099587,0.46205951648705773,0.030478092797883827,0.1
baseline,topology,random,2,0.6614958351316046,0.8701714480125726,0.7799639101199849,-0.8030380606839229,0.0
baseline,metal,random,2,0.660484855225568,0.6716879750084995,0.5000913919332797,-0.0014357598577849906,0.0
geo_decorr,random,random,5,0.39464422456115106,0.3882781704343726,0.2348827572710263,0.6633777015221513,0.2
geo_decorr,topology,random,5,0.39320472892164915,0.31208194692979807,0.1751289279965663,0.768083029398734,0.1
geo_decorr,metal,random,5,0.4065262428092008,0.38079774130593036,0.24787596278573928,0.6781328340078283,0.1
geo_all,random,random,6,0.3855559580572027,0.37900816706110096,0.22976707084208758,0.6792593028276401,0.2
geo_all,topology,random,6,0.3851971104938828,0.3197464343176392,0.18641146401702902,0.7565517503946376,0.2
geo_all,metal,random,6,0.3961030208250782,0.3716321460056359,0.2428090372303003,0.6934407004323284,0.1
rac_decorr,random,random,45,0.6148172143037655,0.6097879495868103,0.4135481374300371,0.16973905887811191,0.2
rac_decorr,topology,random,45,0.6154253850031698,0.5658142791236916,0.3516634734688942,0.23766994420578047,0.1
rac_decorr,metal,random,45,0.6169979709688629,0.644451365523767,0.45079283114189583,0.07813305022792072,0.1
rac_all,random,random,81,0.6144792480056626,0.6093847062393316,0.41283403520374756,0.1708367732665249,0.2
rac_all,topology,random,81,0.613849935671761,0.5796866079493236,0.35370478204221417,0.19983091021354737,0.0
rac_all,metal,random,81,0.6168171015938804,0.6402128962269966,0.4443523650519159,0.09021916273757125,0.1
combined_decorr,random,random,50,0.3232827867210071,0.3191258611767828,0.18833618623438347,0.7726049893333654,0.3
combined_decorr,topology,random,50,0.32037560692891554,0.36094649916533306,0.18843522667161727,0.689772063608495,0.3
combined_decorr,metal,random,50,0.3404055753420997,0.3587495357373373,0.22288383128691755,0.7143260471581332,0.2
combined_all,random,random,87,0.3145034701414081,0.30886920402162704,0.18290442884521424,0.7869869799732194,0.3
combined_all,topology,random,87,0.31814700452669703,0.3422666821161746,0.18312020357458106,0.7210512074501254,0.2
combined_all,metal,random,87,0.33265209444252397,0.34965117046131,0.22304008674872763,0.7286324451572987,0.2
